,std,mean,max,label
0,1.3394595029269103,5.2021784386617105,10.97,0.0
1,1.585955872319519,9.859058311977716,19.734747,2.0
2,3.090575089002742,5.889874990569905,34.927292,1.0
3,2.573587419837064,15.8273477874097,26.950001,2.0
4,1.6164141795155385,5.2857963757749165,11.99,0.0
5,4.006421279448786,13.228119428196479,33.062408000000005,1.0
6,1.8056401880357424,6.021030246141124,22.223415,0.0
7,3.1951411322249275,6.2601383029546405,24.098862,1.0
8,3.362976638137287,5.813204056929371,30.1,1.0
9,3.6988068786563795,9.196043956999523,18.77,1.0
10,1.444694929114923,9.94524859775701,19.08,2.0
11,1.7839651156685323,7.774635658914728,16.02,0.0
